# name|stream_url
Groove Salad|http://ice5.somafm.com/groovesalad-128-mp3
Drone Zone|http://ice5.somafm.com/dronezone-128-mp3
Deep Space One|http://ice5.somafm.com/deepspaceone-128-mp3
